distribution,tau,mismatch,c,r,r2
gaussian,1.0,7.7,0.870964708503982,6.783745908931362,46.01920855694299
gaussian,1.0,7.800000000000001,0.8724789873896843,6.8820304516255195,47.36234313710095
gaussian,1.0,7.9,0.8739599652410435,6.980362727039778,48.72546380104621
gaussian,1.0,8.0,0.8754086566738405,7.078740794347634,50.10857123356137
gaussian,1.0,8.1,0.8768260393782906,7.177162814631629,51.51166606773101
gaussian,1.0,8.200000000000001,0.8782130555115141,7.275627044437265,52.93474888974693
gaussian,1.0,8.3,0.8795706130521392,7.374131829796155,54.37782024321278
gaussian,1.0,8.4,0.8808995871151761,7.472675600680341,55.840880633003295
gaussian,1.0,8.5,0.8822008212259196,7.571256865853181,57.32393052872894
gaussian,1.0,8.6,0.8834751285521194,7.669874208085125,58.82697036784943
gaussian,1.0,8.700000000000001,0.8847232930940842,7.768526279705502,60.350000558475
gaussian,1.0,8.8,0.8859460708327179,7.867211798463905,61.89302148188967
gaussian,1.0,8.9,0.8871441908357692,7.965929543677005,63.45603349482614
gaussian,1.0,9.0,0.888318356322803,8.064678352638726,65.03903693151968
gaussian,1.0,9.1,0.8894692456895862,8.163457117273538,66.64203210556398
gaussian,1.0,9.200000000000001,0.8905975134927204,8.262264781014364,68.26501931159034
gaussian,1.0,9.3,0.8917037913954723,8.361100335888086,69.90799882678786
gaussian,1.0,9.4,0.8927886890758371,8.459962819793159,71.57097091228262
gaussian,1.0,9.5,0.8938527950979329,8.55885131395496,73.25393581438856
gaussian,1.0,9.600000000000001,0.8948966777478692,8.65776494054584,74.95689376574472
gaussian,1.0,9.700000000000001,0.8959208858352602,8.756702860457754,76.67984498634901
gaussian,1.0,9.8,0.8969259494615741,8.855664271216476,78.42278968450003
gaussian,1.0,9.9,0.8979123807565057,8.95464840502714,80.1857280576551
gaussian,1.0,10.0,0.8988806745835655,9.053654526941784,81.96866029321346
gaussian,2.0,0.0,0.37505792279835537,0.2609827470423178,0.06811199425375443
gaussian,2.0,0.1,0.3751497842333519,0.272094394693335,0.07403535962353237
